date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,anthing
1/1/2021,KS,2879,,138,,6903,6903,825,143,1862,221,784761,5962,,,,412,97,227745,,5312,0,,,,,,,,0,1012506,11274,,,,,1012506,11274,,0,
1/1/2021,KY,2623,2446,0,177,13488,13488,1673,0,3045,433,,0,,,,,234,265262,213256,0,0,6863,16918,,,182341,36740,,0,3148606,0,101804,164469,,,,0,3148606,0,
1/1/2021,LA,7488,7115,0,373,,,1731,0,,,3898907,0,,,,,202,315275,285477,0,0,,,,,,263712,,0,4214182,0,,215765,,,,0,4184384,0,
1/1/2021,MA,12423,12157,0,266,16098,16098,2271,0,,417,3658165,0,,,,,240,375178,359445,0,0,,,12915,,437155,261672,,0,10944699,0,,,140254,360840,4017610,0,10944699,0,
1/1/2021,MD,5942,5774,47,168,26819,26819,1734,183,,388,2538142,12336,,154692,,,,280219,280219,3557,0,,,19059,,340048,9358,,0,5761534,53504,,,173751,,2818361,15893,5761534,53504,
1/1/2021,ME,347,341,0,6,1065,1065,182,0,,46,,0,13031,,,,18,24201,20637,0,0,545,3745,,,24975,11374,,0,1095386,9404,13588,83034,,,,0,1095386,9404,
1/1/2021,MI,13018,12333,0,685,,,2758,0,,629,,0,,,7584454,,368,528621,488144,0,0,,,,,618299,318389,,0,8202753,0,427428,,,,,0,8202753,0,
1/1/2021,MN,5323,5151,0,172,21864,21864,895,0,4620,196,2571846,0,,,,,,415302,400958,0,0,,,,,,397080,5351379,0,5351379,0,,223583,,,2972804,0,,0,
1/1/2021,MO,5540,,21,,,,2779,0,,648,1657381,5079,97712,,3218368,,364,397299,397299,4729,0,13267,44239,,,440219,,,0,3665980,27742,111194,372178,103463,166516,2054680,9808,3665980,27742,
1/1/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,122,122,0,0,,,,,,29,,0,17551,0,,,,,17542,0,26131,0,
1/1/2021,MS,4816,3834,29,982,8145,8145,1456,0,,346,1127658,0,,,,,219,218386,148911,2575,0,,,,,,167263,,0,1346044,2575,60877,401956,,,,0,1267602,0,
1/1/2021,MT,961,,0,,3568,3568,203,0,,39,,0,,,,,23,81555,,0,0,,,,,,74991,,0,791589,0,,,,,,0,791589,0,
1/1/2021,NC,6748,6342,0,406,,,3472,0,,774,,0,,,,,,539545,493951,0,0,,,,,,,,0,6741248,72923,,262773,,,,0,6741248,72923,
1/1/2021,ND,1289,,0,,3552,3552,94,0,524,16,285028,1775,,,,,,92495,89525,0,0,,,,,,89314,1249797,5489,1249797,5489,,41599,,,376910,0,1319669,6109,
1/1/2021,NE,1651,,40,,5254,5254,534,34,,,680859,1624,,,1562488,,,166798,,1501,0,,,,,191386,107694,,0,1755820,12101,,,,,848067,3125,1755820,12101,
1/1/2021,NH,759,,0,,902,902,317,0,300,,479590,0,,,,,,44028,32696,0,0,,,,,,37350,,0,1032929,0,35841,45901,34671,,512286,0,1032929,0,
1/1/2021,NJ,19160,17139,118,2021,48572,48572,3625,1246,,693,7309853,51438,,,,,471,532903,482861,5918,0,,,,,,,,0,7842756,57356,,,,,,0,7792714,56939,
1/1/2021,NM,2502,,25,,9756,9756,791,67,,,,0,,,,,,144142,,1278,0,,,,,,66638,,0,1983507,13295,,,,,,0,1983507,13295,
1/1/2021,NV,3146,,21,,,,1871,0,,398,940813,2789,,,,,273,227046,227046,2315,0,,,,,,,2095778,13824,2095778,13824,,,,,1167859,5104,,0,
1/1/2021,NY,30208,,168,,,,7886,0,,1292,,0,,,,,776,990711,,16497,0,,,,,,,25504313,219253,25504313,219253,,,,,,0,,0,
1/1/2021,OH,8962,8112,0,850,38334,38334,4367,0,5870,1059,,0,,,,,722,700380,628336,0,0,,45805,,,662771,556106,,0,7745920,63336,,860951,,,,0,7745920,63336,
1/1/2021,OK,2489,,0,,17059,17059,1910,0,,498,2394318,17009,,,2394318,,,290936,,0,0,8502,,,,291996,255843,,0,2685254,17009,106188,,,,,0,2691172,22002,
1/1/2021,OR,1477,,9,,6498,6498,524,43,,119,,0,,,2496394,,60,113909,,1649,0,,,,,156276,,,0,2652670,20195,,,,,,0,2652670,20195,
1/1/2021,PA,16214,,236,,,,5624,0,,1172,3275205,10076,,,,,661,648039,581260,7714,0,,,,,,429017,7607664,52987,7607664,52987,,,,,3856465,16972,,0,
1/1/2021,PR,1521,1257,18,264,,,432,0,,77,305972,0,,,395291,,70,77054,72327,763,0,56216,,,,20103,66930,,0,383026,763,,,,,,0,415664,0,
1/1/2021,RI,1823,,14,,6506,6506,426,0,,61,551028,2904,,,1906838,,47,90404,,863,0,,,,,108618,,2015456,14674,2015456,14674,,,,,641432,3767,,0,
1/1/2021,SC,5296,4885,0,411,14390,14390,2025,0,,400,2865514,0,88978,,2781083,,199,307507,283424,0,0,16447,46617,,,367855,151084,,0,3173021,0,105425,407614,,,,0,3148938,0,
1/1/2021,SD,1488,,0,,5672,5672,297,0,,62,273476,0,,,,,46,99164,90050,0,0,,,,,96130,91980,,0,597286,2410,,,,,372640,0,597286,2410,
1/1/2021,TN,6907,5990,0,917,14531,14531,3378,0,,813,,0,,,5004400,,471,586802,514459,0,0,,77898,,,603549,508914,,0,5607949,36234,,624501,,,,0,5607949,36234,
1/1/2021,TX,27771,,334,,,,12481,0,,3124,,0,,,,,,1772483,1563758,16311,0,90397,102780,,,1729239,1435164,,0,13848790,105811,785916,1198101,,,,0,13848790,105811,
1/1/2021,UT,1269,,0,,10956,10956,565,0,1824,158,1302491,0,,,1977503,641,,276612,,0,0,,32636,,31285,267800,224439,,0,2245303,0,,428308,,176272,1549731,0,2245303,0,
1/1/2021,VA,5081,4478,49,603,18166,18166,2754,125,,557,,0,,,,,322,354766,297053,5182,0,17347,57410,,,364782,,4291320,35329,4291320,35329,187996,685608,,,,0,,0,
1/1/2021,VI,23,,0,,,,,0,,,34176,37,,,,,,2036,,5,0,,,,,,1901,,0,36212,42,,,,,36266,25,,0,
1/1/2021,VT,136,136,0,,,,31,0,,7,255684,0,,,,,,7412,7240,0,0,,,,,,4959,,0,697705,0,,,,,262924,0,697705,0,
1/1/2021,WA,3461,,41,,14748,14748,1138,177,,248,,0,,,,,118,246752,237165,4422,0,,,,,,,3836820,31430,3836820,31430,,,,,,0,,0,
1/1/2021,WI,5254,4869,12,385,21400,21400,1074,50,2051,244,2357057,6388,,,,,,522523,483007,2085,0,,,,,,450358,5380828,32340,5380828,32340,,,,,2840064,8293,,0,
1/1/2021,WV,1361,1210,23,151,,,809,0,,211,,0,,,,,102,87820,71250,2486,0,,,,,,60316,,0,1516422,21741,26060,,,,,0,1516422,21741,
1/1/2021,WY,438,,0,,1102,1102,113,0,,,159528,0,,,462878,,,44409,38010,0,0,,,,,38891,42570,,0,501784,0,,,,,197538,0,501784,0,
12/1/2020,AK,122,122,1,,749,749,155,24,,,,0,,,978681,,21,31834,,511,0,,,,,38921,,,0,1018628,7232,,,,,,0,1018628,7232,
12/1/2020,AL,3638,3280,60,358,25610,25610,1785,272,2242,,1383805,7481,,,,1291,,252900,210037,3376,0,,,,,,161946,,0,1593842,9495,,,71828,,1593842,9495,,0,
12/1/2020,AR,2512,2304,10,208,9021,9021,1074,84,,403,1552255,6854,,,1552255,994,195,159309,139198,1950,0,,,,24423,,140682,,0,1691453,7996,,,,141607,,0,1691453,7996,
12/1/2020,AS,0,,0,,,,,0,,,1988,0,,,,,,0,0,0,0,,,,,,,,0,1988,0,,,,,,0,1988,0,
12/1/2020,AZ,6687,6191,48,496,26072,26072,2594,286,,597,1945076,8127,,,,,369,337139,326838,10322,0,,,,,,,,0,3860609,57515,450648,,365224,,2271914,18225,3860609,57515,
12/1/2020,CA,19211,,70,,,,9049,0,,2000,,0,,,,,,1225189,1225189,12221,0,,,,,,,,0,24161313,136142,,,,,,0,24161313,136142,
12/1/2020,CO,3109,2619,72,490,14116,14116,1977,628,,,1541144,9800,189562,,,,,237310,226954,4405,0,17222,,,,,,3255541,36690,3255541,36690,207350,,,,1768098,14051,,0,
12/1/2020,CT,5040,4045,20,995,,,1152,0,,,,0,,,3481846,,,118754,111025,1459,0,,4225,,,149984,,,0,3637060,40059,,56559,,,,0,3637060,40059,
12/1/2020,DC,685,,5,,,,160,0,,43,,0,,,,,18,21685,,133,0,,,,,,15914,697409,2153,697409,2153,,,,,307336,889,,0,
12/1/2020,DE,777,683,5,94,,,246,0,,33,390907,2219,,,,,,36343,34963,689,0,,,,,36848,17713,744188,3754,744188,3754,,,,,427250,2908,,0,
12/1/2020,FL,18916,,82,,55892,55892,4282,338,,,6295909,39477,578113,560932,9813706,,,991910,904354,8540,0,71851,,69600,,1286624,,12517482,89717,12517482,89717,650372,,630838,,7287819,48017,11152653,87019,
12/1/2020,GA,9515,8798,63,717,35063,35063,2634,239,6536,,,0,,,,,,476405,424929,4842,0,36148,,,,398641,,,0,4338967,24519,364644,,,,,0,4338967,24519,
12/1/2020,GU,112,,0,,,,46,0,,10,78149,582,,,,,4,6889,6757,37,0,12,127,,,,5846,,0,85038,619,225,1662,,,,0,84906,617,
12/1/2020,HI,244,244,0,,1288,1288,56,1,,24,,0,,,,,7,18266,17968,43,0,,,,,17931,,673164,3402,673164,3402,,,,,,0,,0,
12/1/2020,IA,2431,,28,,,,1172,0,,235,869594,1188,,71228,,,144,203398,203398,988,0,,,4899,28011,,137431,,0,1072992,2176,,,76167,141534,1075131,2198,,0,
12/1/2020,ID,929,854,9,75,4049,4049,446,71,756,110,388405,799,,,,,,101698,86271,1214,0,,,,,,40929,,0,474676,1639,,31219,,,474676,1639,716978,3676,
12/1/2020,IL,13131,12403,146,728,,,5835,0,,1195,,0,,,,,721,738846,,12542,0,,,,,,,,0,10614079,116081,,,,,,0,10614079,116081,
12/1/2020,IN,5864,5598,141,266,26424,26424,3460,406,4794,990,1872885,7281,,,,,386,344373,,5396,0,,,,,313886,,,0,4295987,36023,,,,,2217258,12677,4295987,36023,
12/1/2020,KS,1560,,0,,5105,5105,854,0,1353,227,665438,0,,,,395,92,157446,,0,0,,,,,,,,0,822884,0,,,,,822884,0,,0,
12/1/2020,KY,1943,1874,35,69,10190,10190,1777,136,2482,441,,0,,,,,241,183168,151528,4127,0,,,,,,28486,,0,2608252,25132,95530,112401,,,,0,2608252,25132,
12/1/2020,LA,6455,6194,35,261,,,1280,0,,,3216711,45406,,,,,128,237740,224410,5326,0,,,,,,192488,,0,3454451,50732,,111778,,,,0,3441121,49395,
12/1/2020,MA,10778,10542,30,236,14139,14139,1191,0,,239,3142496,15282,,,,,130,229205,221174,3073,0,,,12130,,277245,155473,,0,8460417,59833,,,132492,265989,3363670,18127,8460417,59833,
12/1/2020,MD,4673,4516,32,157,21206,21206,1583,155,,350,2156576,10037,,143097,,,,201135,201135,2765,0,,,15413,,240267,8613,,0,4460445,30696,,,158510,,2357711,12802,4460445,30696,
12/1/2020,ME,214,213,20,1,709,709,139,10,,48,,0,12359,,,,22,11976,10675,219,0,399,664,,,13741,9364,,0,863125,4206,12770,19316,,,,0,863125,4206,
12/1/2020,MI,9759,9324,195,435,,,4310,0,,874,,0,,,6321136,,526,395453,366242,6511,0,,,,,466017,165269,,0,6787153,38421,369466,,,,,0,6787153,38421,
12/1/2020,MN,3615,3543,22,72,17111,17111,1840,320,3826,394,2223615,6035,,,,,,322312,315388,3549,0,,,,,,279540,4179928,23306,4179928,23306,,104895,,,2539003,9330,,0,
12/1/2020,MO,4006,,177,,,,2599,0,,656,1516896,2965,86964,,2747704,,344,302691,302691,2929,0,8218,18677,,,335364,,,0,3089100,12723,95387,123814,90280,73469,1819587,5894,3089100,12723,
12/1/2020,MP,2,2,0,,4,4,,0,,,17010,263,,,,,,106,106,0,0,,,,,,29,,0,17116,263,,,,,17116,265,23944,0,
12/1/2020,MS,3836,3334,29,502,7486,7486,1158,0,,250,982395,0,,,,,142,154411,122764,1141,0,,,,,,128746,,0,1136806,1141,51554,210647,,,,0,1104632,0,
12/1/2020,MT,698,,17,,2680,2680,495,58,,88,,0,,,,,46,63205,,1007,0,,,,,,46350,,0,660895,4874,,,,,,0,660895,4874,
12/1/2020,NC,5284,5123,23,161,,,2033,0,,485,,0,,,,,,367395,345906,2883,0,,,,,,,,0,5226292,22913,,118261,,,,0,5226292,22913,
12/1/2020,ND,960,,27,,2751,2751,320,43,430,35,271183,218,11048,,,,,81145,79597,466,0,1007,,,,,73015,1091144,3055,1091144,3055,12055,5463,,,350834,617,1147587,3331,
12/1/2020,NE,1018,,29,,4316,4316,907,39,,,616317,2416,,,1222719,,,128407,,1941,0,,,,,146049,64485,,0,1370335,16164,,,,,745080,4356,1370335,16164,
12/1/2020,NH,528,,2,,841,841,160,2,279,,406441,2233,,,,,,21766,17648,772,0,,,,,,16216,,0,825100,7941,34218,,33186,,424089,2828,825100,7941,
12/1/2020,NJ,17083,15254,90,1829,41305,41305,3129,92,,601,5749192,0,,,,,359,372341,341910,5443,0,,,,,,,,0,6121533,5443,,,,,,0,6086496,0,
12/1/2020,NM,1589,,21,,6898,6898,909,116,,,,0,,,,,,99419,,2324,0,,,,,,33458,,0,1579759,21468,,,,,,0,1579759,21468,
12/1/2020,NV,2166,,22,,,,1589,0,,344,831889,4209,,,,,198,154867,154867,2698,0,,,,,,,1653858,15759,1653858,15759,,,,,986756,6907,,0,
12/1/2020,NY,26816,,69,,,,3774,0,,718,,0,,,,,348,655265,,7285,0,,,,,,,19568173,146675,19568173,146675,,,,,,0,,0,
12/1/2020,OH,6548,6111,119,437,27449,27449,5226,585,4729,1233,,0,,,,,693,430093,406780,9030,0,,18371,,,436434,280716,,0,6185536,48466,,414433,,,,0,6185536,48466,
12/1/2020,OK,1758,,15,,12293,12293,1718,35,,461,1923468,50000,,,1923468,,,199482,,1737,0,6248,,,,203926,167406,,0,2122950,51737,97315,,,,,0,2130748,58811,
12/1/2020,OR,912,,7,,4343,4343,662,0,,127,968686,0,,,1871210,,58,75431,,1311,0,,,,,108570,,,0,1979780,12383,,,,,1028119,0,1979780,12383,
12/1/2020,PA,10563,,180,,,,4744,0,,967,2836445,8396,,,,,524,367140,340648,5676,0,,,,,,220284,5744694,44302,5744694,44302,,,,,3177093,13133,,0,
12/1/2020,PR,1122,897,16,225,,,638,0,,101,305972,0,,,395291,,85,53320,51647,775,0,41279,,,,20103,43987,,0,359292,775,,,,,,0,415664,0,
12/1/2020,RI,1380,,7,,4670,4670,410,88,,41,475807,2646,,,1490762,,23,57906,,1183,0,,,,,71152,,1561914,11754,1561914,11754,,,,,533713,3829,,0,
12/1/2020,SC,4404,4091,23,313,11910,11910,980,33,,201,2198114,16138,78915,,2133438,,84,218912,205004,1425,0,11862,25722,,,269680,115152,,0,2417026,17563,90777,225071,,,,0,2403118,17483,
12/1/2020,SD,948,,2,,4572,4572,547,70,,106,249621,1233,,,,,59,80912,75391,448,0,,,,,81599,65876,,0,519710,2711,,,,,330533,1681,519710,2711,
12/1/2020,TN,4638,4240,36,398,12209,12209,2632,113,,646,,0,,,4140172,,317,380186,349543,5693,0,,31666,,,411418,336131,,0,4551590,35935,,322042,,,,0,4551590,35935,
12/1/2020,TX,21549,,170,,,,9047,0,,2583,,0,,,,,,1296972,1184250,18540,0,61129,60962,,,1327560,976517,,0,11145908,135034,573566,738089,,,,0,11145908,135034,
12/1/2020,UT,890,,19,,8279,8279,587,144,1498,205,1144247,4559,,,1638272,543,,198216,,2510,0,,17326,,16654,197322,136709,,0,1835594,11548,,232796,,105205,1327020,6356,1835594,11548,
12/1/2020,VA,4093,3750,31,343,14725,14725,1757,106,,398,,0,,,,,173,240063,212916,2228,0,13134,23481,,,252516,,3341426,15099,3341426,15099,164852,347973,,,,0,,0,
12/1/2020,VI,23,,0,,,,,0,,,27028,245,,,,,,1550,,6,0,,,,,,1493,,0,28578,251,,,,,28658,260,,0,
12/1/2020,VT,72,72,3,,,,32,0,,2,220785,1196,,,,,,4365,4248,69,0,,,,,,2564,,0,555633,2679,,,,,225033,1259,555633,2679,
12/1/2020,WA,2774,2774,71,,10895,10895,1003,136,,260,,0,,,,,113,177054,171778,1314,0,,,,,,,2894367,0,2894367,0,,,,,,0,,0,
12/1/2020,WI,3611,3420,117,191,17372,17372,1827,277,1824,415,2156410,6414,,,,,,416365,391313,4635,0,,,,,,319426,4453101,27071,4453101,27071,,,,,2547723,10492,,0,
12/1/2020,WV,758,720,23,38,,,595,0,,166,,0,,,,,81,48818,41561,976,0,,,,,,31139,,0,1138776,10781,21163,,,,,0,1138776,10781,
12/1/2020,WY,230,,15,,793,793,239,9,,,141466,0,,,387265,,,33805,29389,500,0,,,,,32316,26003,,0,419587,0,,,,,170519,0,419587,0,
11/1/2020,AK,83,83,1,,462,462,98,7,,,,0,,,588975,,5,15663,,351,0,,,,,14906,7104,,0,604207,0,,,,,,0,604207,0,
11/1/2020,AL,2973,2767,6,206,20450,20450,967,0,2066,,1187341,5383,,,,1193,,193985,165239,1700,0,,,,,,81005,,0,1352580,6327,,,64859,,1352580,6327,,0,
11/1/2020,AR,1925,1758,0,167,7055,7055,639,17,,225,1243490,0,,,1243490,838,106,112190,103482,0,0,,,,9841,,100067,,0,1346972,0,,,,61220,,0,1346972,0,
11/1/2020,AS,0,,0,,,,,0,,,1616,0,,,,,,0,0,0,0,,,,,,,,0,1616,0,,,,,,0,1616,0,
11/1/2020,AZ,5981,5663,2,318,21558,21558,875,66,,222,1544171,12748,,,,,112,247473,241596,1527,0,,,,,,,,0,2842876,13357,407735,,320223,,1785767,14214,2842876,13357,
11/1/2020,CA,17667,,41,,,,3193,0,,791,,0,,,,,,926534,926534,4529,0,,,,,,,,0,18743315,140998,,,,,,0,18743315,140998,
11/1/2020,CO,2288,1896,3,392,9089,9089,788,25,,,1133557,11501,171321,,,,,109910,102766,2560,0,13636,,,,,,2034795,30073,2034795,30073,184957,,,,1236323,14047,,0,
11/1/2020,CT,4616,3708,0,908,,,329,0,,,,0,,,2533349,,,71207,67519,0,0,,,,,90097,,,0,2626568,11758,,,,,,0,2626568,11758,
11/1/2020,DC,646,,0,,,,101,0,,34,,0,,,,,11,17369,,103,0,,,,,,13349,525246,11116,525246,11116,,,,,258131,3083,,0,
11/1/2020,DE,710,623,2,87,,,102,0,,25,327222,1445,,,,,,25126,23955,175,0,,,,,27073,13291,561267,6396,561267,6396,,,,,352348,1620,,0,
11/1/2020,FL,16997,,28,,49981,49981,2370,67,,,5379089,44294,525620,509924,7996560,,,796802,762674,4805,0,60753,,59014,,1039916,,10086898,107550,10086898,107550,586749,,569222,,6175891,49099,9082827,95177,
11/1/2020,GA,7981,,2,,31720,31720,1720,21,5961,,,0,,,,,,361982,361982,1192,0,30146,,,,338511,,,0,3584111,21429,332581,,,,,0,3584111,21429,
11/1/2020,GU,79,,0,,,,100,0,,16,62873,102,,,,,4,4690,4641,9,0,7,49,,,,2666,,0,67563,111,206,409,,,,0,66618,0,
11/1/2020,HI,219,219,3,,1105,1105,58,8,,8,,0,,,,,5,15284,15071,68,0,,,,,15012,11776,530264,4234,530264,4234,,,,,,0,,0,
11/1/2020,IA,1717,,1,,,,718,0,,156,775208,4531,,63620,,,57,121967,121967,2212,0,,,3909,8393,,93522,,0,897175,6743,,,67569,81999,898851,6754,,0,
11/1/2020,ID,629,585,3,44,2594,2594,263,22,551,74,329583,1503,,,,,,64608,56399,798,0,,,,,,29867,,0,385982,2068,,,,,385982,2068,523318,2996,
11/1/2020,IL,10075,9792,25,283,,,3294,0,,692,,0,,,,,284,423539,417280,6980,0,,,,,,,,0,7808303,78458,,,,,,0,7808303,78458,
11/1/2020,IN,4364,4124,32,240,17023,17023,1732,176,3292,495,1527836,8186,,,,,167,182108,,2750,0,,,,,174616,,,0,2941037,30420,,,,,1709944,10936,2941037,30420,
11/1/2020,KS,1029,,0,,3832,3832,512,0,1067,145,557601,0,,,,323,53,85181,,0,0,,,,,,,,0,642782,0,,,,,642782,0,,0,
11/1/2020,KY,1489,1467,4,22,7210,7210,964,0,1734,236,,0,,,,,,108642,91343,1423,0,,,,,,18468,,0,1895653,0,86301,62629,,,,0,1895653,0,
11/1/2020,LA,5926,5712,7,214,,,598,0,,,2595398,18376,,,,,70,187720,183341,1071,0,,,,,,168634,,0,2783118,19447,,,,,,0,2778739,19447,
11/1/2020,MA,10013,9788,22,225,13299,13299,613,13,,113,2602387,15585,,,,,55,159707,155660,1131,0,,,,,201330,127054,,0,6165624,62463,,,127372,188181,2758047,16724,6165624,62463,
11/1/2020,MD,4152,4004,5,148,17178,17178,523,85,,127,1803035,9644,,134409,,,,146145,146145,864,0,,,13664,,176150,8199,,0,3452416,29754,,,148073,,1949180,10508,3452416,29754,
11/1/2020,ME,147,146,0,1,488,488,17,2,,5,,0,11780,,,,1,6715,5944,47,0,361,0,,,6991,5554,,0,620060,356,12153,11,,,,0,620060,356,
11/1/2020,MI,7699,7340,0,359,,,1728,0,,398,,0,,,4714186,,167,197406,178180,0,0,,,,,238280,121093,,0,4952466,0,329831,,,,,0,4952466,0,
11/1/2020,MN,2475,2455,18,20,10334,10334,738,64,2706,176,1719173,13387,,,,,,150672,150004,2200,0,,,,,,129663,2836227,27094,2836227,27094,,31184,,,1869177,15560,,0,
11/1/2020,MO,3026,,2,,,,1649,0,,494,1333181,6212,82124,,2319312,,214,185535,185535,2349,0,5621,7465,,,211106,,,0,2535182,17632,87952,43552,83927,30074,1518716,8561,2535182,17632,
11/1/2020,MP,2,2,0,,4,4,,0,,,15993,0,,,,,,96,96,4,0,,,,,,29,,0,16089,4,,,,,16085,0,22633,0,
11/1/2020,MS,3348,3010,14,338,6576,6576,673,0,,171,804264,0,,,,,76,120500,105098,340,0,,,,,,101385,,0,924764,340,44238,94219,,,,0,908108,0,
11/1/2020,MT,376,,1,,1357,1357,376,7,,,,0,,,,,,33495,,694,0,,,,,,21398,,0,501704,2789,,,,,,0,501704,2789,
11/1/2020,NC,4383,4306,5,77,,,1122,0,,328,,0,,,,,,276692,265171,2057,0,,,,,,,,0,4062923,37191,,33369,,,,0,4062923,37191,
11/1/2020,ND,536,,7,,1634,1634,278,16,314,38,250750,602,10222,,,,,45344,44949,1150,0,686,,,,,36142,841049,8940,841049,8940,10908,756,,,295793,1729,876350,9545,
11/1/2020,NE,652,,6,,3042,3042,612,9,,,523700,2327,,,860660,,,70732,,1087,0,,,,,83285,44247,,0,945178,7055,,,,,594749,3416,945178,7055,
11/1/2020,NH,483,,0,,780,780,38,1,255,,336796,1948,,,,,,11214,10339,130,0,,,,,,9379,,0,616594,0,33039,,32206,,347135,2050,616594,0,
11/1/2020,NJ,16354,14561,4,1793,37721,37721,1104,33,,213,4418220,0,,,,,101,251639,239629,2126,0,,,,,,,,0,4669859,2126,,,,,,0,4656106,0,
11/1/2020,NM,1026,,8,,4673,4673,365,56,,,,0,,,,,,47232,,742,0,,,,,,21623,,0,1182514,9794,,,,,,0,1182514,9794,
11/1/2020,NV,1781,,4,,,,585,0,,165,711711,3987,,,,,58,101479,101479,716,0,,,,,,,1263183,10100,1263183,10100,,,,,813190,4703,,0,
11/1/2020,NY,25824,,17,,,,1125,0,,259,,0,,,,,117,509735,,2255,0,,,,,,,14676653,148935,14676653,148935,,,,,,0,,0,
11/1/2020,OH,5303,4990,2,313,19220,19220,1687,88,3876,453,,0,,,,,247,219000,206549,3303,0,,3078,,,231339,170259,,0,4524833,57389,,98069,,,,0,4524833,57389,
11/1/2020,OK,1345,,8,,8911,8911,852,22,,322,1494632,0,,,1494632,,,124111,,1349,0,5049,,,,135119,107082,,0,1618743,1349,89217,,,,,0,1632701,0,
11/1/2020,OR,689,,14,,3204,3204,211,0,,61,817028,6479,,,1396505,,23,44921,,533,0,,,,,71352,,,0,1467857,26698,,,,,852685,0,1467857,26698,
11/1/2020,PA,8817,,5,,,,1267,0,,,2327810,13176,,,,,120,209936,199891,1909,0,,,,,,158100,4153368,36580,4153368,36580,,,,,2527701,14904,,0,
11/1/2020,PR,832,632,10,200,,,429,0,,62,305972,0,,,395291,,43,34541,34541,403,0,32120,,,,20103,29903,,0,340513,403,,,,,,0,415664,0,
11/1/2020,RI,1207,,3,,3385,3385,170,27,,22,405446,2293,,,1108938,,9,33888,,480,0,,,,,44889,,1153827,11900,1153827,11900,,,,,439334,2773,,0,
11/1/2020,SC,3936,3687,1,249,10514,10514,773,14,,190,1649329,23891,71712,,1596565,,93,178023,169228,1411,0,9083,16869,,,221992,91466,,0,1827352,25302,80795,116139,,,,0,1818557,25234,
11/1/2020,SD,437,,12,,2721,2721,421,38,,,214841,1301,,,,,,47324,45437,1332,0,,,,,51085,33749,,0,397091,5187,,,,,262165,2633,397091,5187,
11/1/2020,TN,3353,3165,0,188,10307,10307,1437,1,,428,,0,,,3371628,,181,261426,246563,754,0,,14267,,,296682,233175,,0,3668310,11305,,118549,,,,0,3668310,11305,
11/1/2020,TX,18077,,53,,,,5691,0,,1631,,0,,,,,,972330,904855,71734,0,47829,32759,,,1001616,785282,,0,8517903,38378,487423,414144,,,,0,8517903,38378,
11/1/2020,UT,614,,10,,5526,5526,355,63,1144,130,936881,4718,,,1277535,443,,116510,,1854,0,,5610,,5383,120820,85299,,0,1398355,9293,,90076,,40963,1047886,6146,1398355,9293,
11/1/2020,VA,3655,3399,1,256,12647,12647,1012,43,,228,,0,,,,,98,182392,168675,1202,0,11324,9447,,,200892,,2647659,21607,2647659,21607,153999,157691,,,,0,,0,
11/1/2020,VI,21,,0,,,,,0,,,23054,0,,,,,,1376,,0,0,,,,,,1320,,0,24430,0,,,,,24460,0,,0,
11/1/2020,VT,58,58,0,,,,4,0,,1,186372,415,,,,,,2212,2196,17,0,,,,,,1816,,0,412747,4586,,,,,188568,432,412747,4586,
11/1/2020,WA,2366,2366,0,,8571,8571,470,49,,112,,0,,,,,47,112754,110553,1147,0,,,,,,,2450122,23737,2450122,23737,,,,,,0,,0,
11/1/2020,WI,2110,2047,18,63,11497,11497,1512,123,1491,343,1841205,14569,,,,,,241423,228863,3553,0,,,,,,179230,3310356,21236,3310356,21236,,,,,2070068,18062,,0,
11/1/2020,WV,457,452,0,5,,,240,0,,76,,0,,,,,29,24883,22919,423,0,,,,,,19011,,0,783470,9302,19211,,,,,0,783470,9302,
11/1/2020,WY,87,,0,,442,442,117,3,,,117262,0,,,270359,,,13723,11638,425,0,,,,,14387,8676,,0,284746,828,,,,,128538,0,284746,828,
10/1/2020,AK,57,57,1,,317,317,42,2,,,,0,,,454030,,6,8026,,137,0,,,,,8002,4838,,0,462323,5116,,,,,,0,462323,5116,
10/1/2020,AL,2548,2405,8,143,17257,17257,760,0,1832,,1000570,6095,,,,1037,,155744,138162,1043,0,,,,,,67948,,0,1138732,6693,,,58605,,1138732,6693,,0,
10/1/2020,AR,1384,1238,15,146,5445,5445,479,91,,226,961085,11978,,,961085,678,92,84821,81531,1124,0,,,,3608,,76186,,0,1042616,12899,,,,12083,,0,1042616,12899,
10/1/2020,AS,0,,0,,,,,0,,,1571,0,,,,,,0,0,0,0,,,,,,,,0,1571,0,,,,,,0,1571,0,
